variable,BodyType,Fuel,value
2009-10-01,Buses and coaches,Diesel,0.0
2009-10-01,Buses and coaches,Other,0.0
2009-10-01,Buses and coaches,Petrol,0.0
2009-10-01,Buses and coaches,Pure Electric,0.0
2009-10-01,Cars,Diesel,0.0
2009-10-01,Cars,Other,0.0
2009-10-01,Cars,Petrol,0.0
2009-10-01,Cars,Pure Electric,0.0
2009-10-01,Heavy goods vehicles,Diesel,0.0
2009-10-01,Heavy goods vehicles,Other,0.0
2009-10-01,Heavy goods vehicles,Petrol,0.0
2009-10-01,Heavy goods vehicles,Pure Electric,0.0
2009-10-01,Light goods vehicles,Diesel,0.0
2009-10-01,Light goods vehicles,Other,0.0
2009-10-01,Light goods vehicles,Petrol,0.0
2009-10-01,Light goods vehicles,Pure Electric,0.0
2009-10-01,Motorcycles,Diesel,0.0
2009-10-01,Motorcycles,Other,0.0
2009-10-01,Motorcycles,Petrol,0.0
2009-10-01,Motorcycles,Pure Electric,0.0
2009-10-01,Other vehicles,Diesel,0.0
2009-10-01,Other vehicles,Other,0.0
2009-10-01,Other vehicles,Petrol,0.0
2009-10-01,Other vehicles,Pure Electric,0.0
2010-01-01,Buses and coaches,Diesel,0.0
2010-01-01,Buses and coaches,Other,0.0
2010-01-01,Buses and coaches,Petrol,0.0
2010-01-01,Buses and coaches,Pure Electric,0.0
2010-01-01,Cars,Diesel,0.0
2010-01-01,Cars,Other,0.0
2010-01-01,Cars,Petrol,0.0
2010-01-01,Cars,Pure Electric,0.0
2010-01-01,Heavy goods vehicles,Diesel,0.0
2010-01-01,Heavy goods vehicles,Other,0.0
2010-01-01,Heavy goods vehicles,Petrol,0.0
2010-01-01,Heavy goods vehicles,Pure Electric,0.0
2010-01-01,Light goods vehicles,Diesel,0.0
2010-01-01,Light goods vehicles,Other,0.0
2010-01-01,Light goods vehicles,Petrol,0.0
2010-01-01,Light goods vehicles,Pure Electric,0.0
2010-01-01,Motorcycles,Diesel,0.0
2010-01-01,Motorcycles,Other,0.0
2010-01-01,Motorcycles,Petrol,0.0
2010-01-01,Motorcycles,Pure Electric,0.0
2010-01-01,Other vehicles,Diesel,0.0
2010-01-01,Other vehicles,Other,0.0
2010-01-01,Other vehicles,Petrol,0.0
2010-01-01,Other vehicles,Pure Electric,0.0
2010-04-01,Buses and coaches,Diesel,0.0
2010-04-01,Buses and coaches,Other,0.0
2010-04-01,Buses and coaches,Petrol,0.0
2010-04-01,Buses and coaches,Pure Electric,0.0
2010-04-01,Cars,Diesel,0.0
2010-04-01,Cars,Other,0.0
2010-04-01,Cars,Petrol,0.0
2010-04-01,Cars,Pure Electric,0.0
2010-04-01,Heavy goods vehicles,Diesel,0.0
2010-04-01,Heavy goods vehicles,Other,0.0
2010-04-01,Heavy goods vehicles,Petrol,0.0
2010-04-01,Heavy goods vehicles,Pure Electric,0.0
2010-04-01,Light goods vehicles,Diesel,0.0
2010-04-01,Light goods vehicles,Other,0.0
2010-04-01,Light goods vehicles,Petrol,0.0
2010-04-01,Light goods vehicles,Pure Electric,0.0
2010-04-01,Motorcycles,Diesel,0.0
2010-04-01,Motorcycles,Other,0.0
2010-04-01,Motorcycles,Petrol,0.0
2010-04-01,Motorcycles,Pure Electric,0.0
2010-04-01,Other vehicles,Diesel,0.0
2010-04-01,Other vehicles,Other,0.0
2010-04-01,Other vehicles,Petrol,0.0
2010-04-01,Other vehicles,Pure Electric,0.0
2010-07-01,Buses and coaches,Diesel,0.0
2010-07-01,Buses and coaches,Other,0.0
2010-07-01,Buses and coaches,Petrol,0.0
2010-07-01,Buses and coaches,Pure Electric,0.0
2010-07-01,Cars,Diesel,0.0
2010-07-01,Cars,Other,0.0
2010-07-01,Cars,Petrol,0.0
2010-07-01,Cars,Pure Electric,0.0
2010-07-01,Heavy goods vehicles,Diesel,0.0
2010-07-01,Heavy goods vehicles,Other,0.0
2010-07-01,Heavy goods vehicles,Petrol,0.0
2010-07-01,Heavy goods vehicles,Pure Electric,0.0
2010-07-01,Light goods vehicles,Diesel,0.0
2010-07-01,Light goods vehicles,Other,0.0
2010-07-01,Light goods vehicles,Petrol,0.0
2010-07-01,Light goods vehicles,Pure Electric,0.0
2010-07-01,Motorcycles,Diesel,0.0
2010-07-01,Motorcycles,Other,0.0
2010-07-01,Motorcycles,Petrol,0.0
2010-07-01,Motorcycles,Pure Electric,0.0
2010-07-01,Other vehicles,Diesel,0.0
2010-07-01,Other vehicles,Other,0.0
2010-07-01,Other vehicles,Petrol,0.0
2010-07-01,Other vehicles,Pure Electric,0.0
2010-10-01,Buses and coaches,Diesel,0.0
2010-10-01,Buses and coaches,Other,0.0
2010-10-01,Buses and coaches,Petrol,0.0
2010-10-01,Buses and coaches,Pure Electric,0.0
2010-10-01,Cars,Diesel,0.0
2010-10-01,Cars,Other,0.0
2010-10-01,Cars,Petrol,0.0
2010-10-01,Cars,Pure Electric,0.0
2010-10-01,Heavy goods vehicles,Diesel,0.0
2010-10-01,Heavy goods vehicles,Other,0.0
2010-10-01,Heavy goods vehicles,Petrol,0.0
2010-10-01,Heavy goods vehicles,Pure Electric,0.0
2010-10-01,Light goods vehicles,Diesel,0.0
2010-10-01,Light goods vehicles,Other,0.0
2010-10-01,Light goods vehicles,Petrol,0.0
2010-10-01,Light goods vehicles,Pure Electric,0.0
2010-10-01,Motorcycles,Diesel,0.0
2010-10-01,Motorcycles,Other,0.0
2010-10-01,Motorcycles,Petrol,0.0
2010-10-01,Motorcycles,Pure Electric,0.0
2010-10-01,Other vehicles,Diesel,0.0
2010-10-01,Other vehicles,Other,0.0
2010-10-01,Other vehicles,Petrol,0.0
2010-10-01,Other vehicles,Pure Electric,0.0
2011-01-01,Buses and coaches,Diesel,0.0
2011-01-01,Buses and coaches,Other,0.0
2011-01-01,Buses and coaches,Petrol,0.0
2011-01-01,Buses and coaches,Pure Electric,0.0
2011-01-01,Cars,Diesel,0.0
2011-01-01,Cars,Other,0.0
2011-01-01,Cars,Petrol,0.0
2011-01-01,Cars,Pure Electric,0.0
2011-01-01,Heavy goods vehicles,Diesel,0.0
2011-01-01,Heavy goods vehicles,Other,0.0
2011-01-01,Heavy goods vehicles,Petrol,0.0
2011-01-01,Heavy goods vehicles,Pure Electric,0.0
2011-01-01,Light goods vehicles,Diesel,0.0
2011-01-01,Light goods vehicles,Other,0.0
2011-01-01,Light goods vehicles,Petrol,0.0
2011-01-01,Light goods vehicles,Pure Electric,0.0
2011-01-01,Motorcycles,Diesel,0.0
2011-01-01,Motorcycles,Other,0.0
2011-01-01,Motorcycles,Petrol,0.0
2011-01-01,Motorcycles,Pure Electric,0.0
2011-01-01,Other vehicles,Diesel,0.0
2011-01-01,Other vehicles,Other,0.0
2011-01-01,Other vehicles,Petrol,0.0
2011-01-01,Other vehicles,Pure Electric,0.0
2011-04-01,Buses and coaches,Diesel,0.0
2011-04-01,Buses and coaches,Other,0.0
2011-04-01,Buses and coaches,Petrol,0.0
2011-04-01,Buses and coaches,Pure Electric,0.0
2011-04-01,Cars,Diesel,0.0
2011-04-01,Cars,Other,0.0
2011-04-01,Cars,Petrol,0.0
2011-04-01,Cars,Pure Electric,0.0
2011-04-01,Heavy goods vehicles,Diesel,0.0
2011-04-01,Heavy goods vehicles,Other,0.0
2011-04-01,Heavy goods vehicles,Petrol,0.0
2011-04-01,Heavy goods vehicles,Pure Electric,0.0
2011-04-01,Light goods vehicles,Diesel,0.0
2011-04-01,Light goods vehicles,Other,0.0
2011-04-01,Light goods vehicles,Petrol,0.0
2011-04-01,Light goods vehicles,Pure Electric,0.0
2011-04-01,Motorcycles,Diesel,0.0
2011-04-01,Motorcycles,Other,0.0
2011-04-01,Motorcycles,Petrol,0.0
2011-04-01,Motorcycles,Pure Electric,0.0
2011-04-01,Other vehicles,Diesel,0.0
2011-04-01,Other vehicles,Other,0.0
2011-04-01,Other vehicles,Petrol,0.0
2011-04-01,Other vehicles,Pure Electric,0.0
2011-07-01,Buses and coaches,Diesel,0.0
2011-07-01,Buses and coaches,Other,0.0
2011-07-01,Buses and coaches,Petrol,0.0
2011-07-01,Buses and coaches,Pure Electric,0.0
2011-07-01,Cars,Diesel,0.0
2011-07-01,Cars,Other,0.0
2011-07-01,Cars,Petrol,0.0
2011-07-01,Cars,Pure Electric,0.0
2011-07-01,Heavy goods vehicles,Diesel,0.0
2011-07-01,Heavy goods vehicles,Other,0.0
2011-07-01,Heavy goods vehicles,Petrol,0.0
2011-07-01,Heavy goods vehicles,Pure Electric,0.0
2011-07-01,Light goods vehicles,Diesel,0.0
2011-07-01,Light goods vehicles,Other,0.0
2011-07-01,Light goods vehicles,Petrol,0.0
2011-07-01,Light goods vehicles,Pure Electric,0.0
2011-07-01,Motorcycles,Diesel,0.0
2011-07-01,Motorcycles,Other,0.0
2011-07-01,Motorcycles,Petrol,0.0
2011-07-01,Motorcycles,Pure Electric,0.0
2011-07-01,Other vehicles,Diesel,0.0
2011-07-01,Other vehicles,Other,0.0
2011-07-01,Other vehicles,Petrol,0.0
2011-07-01,Other vehicles,Pure Electric,0.0
2011-10-01,Buses and coaches,Diesel,0.0
2011-10-01,Buses and coaches,Other,0.0
2011-10-01,Buses and coaches,Petrol,0.0
2011-10-01,Buses and coaches,Pure Electric,0.0
2011-10-01,Cars,Diesel,0.0
2011-10-01,Cars,Other,0.0
2011-10-01,Cars,Petrol,0.0
2011-10-01,Cars,Pure Electric,0.0
2011-10-01,Heavy goods vehicles,Diesel,0.0
2011-10-01,Heavy goods vehicles,Other,0.0
2011-10-01,Heavy goods vehicles,Petrol,0.0
2011-10-01,Heavy goods vehicles,Pure Electric,0.0
2011-10-01,Light goods vehicles,Diesel,0.0
2011-10-01,Light goods vehicles,Other,0.0
2011-10-01,Light goods vehicles,Petrol,0.0
2011-10-01,Light goods vehicles,Pure Electric,0.0
2011-10-01,Motorcycles,Diesel,0.0
2011-10-01,Motorcycles,Other,0.0
2011-10-01,Motorcycles,Petrol,0.0
2011-10-01,Motorcycles,Pure Electric,0.0
2011-10-01,Other vehicles,Diesel,0.0
2011-10-01,Other vehicles,Other,0.0
2011-10-01,Other vehicles,Petrol,0.0
2011-10-01,Other vehicles,Pure Electric,0.0
2012-01-01,Buses and coaches,Diesel,0.0
2012-01-01,Buses and coaches,Other,0.0
2012-01-01,Buses and coaches,Petrol,0.0
2012-01-01,Buses and coaches,Pure Electric,0.0
2012-01-01,Cars,Diesel,0.0
2012-01-01,Cars,Other,0.0
2012-01-01,Cars,Petrol,0.0
2012-01-01,Cars,Pure Electric,0.0
2012-01-01,Heavy goods vehicles,Diesel,0.0
2012-01-01,Heavy goods vehicles,Other,0.0
2012-01-01,Heavy goods vehicles,Petrol,0.0
2012-01-01,Heavy goods vehicles,Pure Electric,0.0
2012-01-01,Light goods vehicles,Diesel,0.0
2012-01-01,Light goods vehicles,Other,0.0
2012-01-01,Light goods vehicles,Petrol,0.0
2012-01-01,Light goods vehicles,Pure Electric,0.0
2012-01-01,Motorcycles,Diesel,0.0
2012-01-01,Motorcycles,Other,0.0
2012-01-01,Motorcycles,Petrol,0.0
2012-01-01,Motorcycles,Pure Electric,0.0
2012-01-01,Other vehicles,Diesel,0.0
2012-01-01,Other vehicles,Other,0.0
2012-01-01,Other vehicles,Petrol,0.0
2012-01-01,Other vehicles,Pure Electric,0.0
2012-04-01,Buses and coaches,Diesel,0.0
2012-04-01,Buses and coaches,Other,0.0
2012-04-01,Buses and coaches,Petrol,0.0
2012-04-01,Buses and coaches,Pure Electric,0.0
2012-04-01,Cars,Diesel,0.0
2012-04-01,Cars,Other,0.0
2012-04-01,Cars,Petrol,0.0
2012-04-01,Cars,Pure Electric,0.0
2012-04-01,Heavy goods vehicles,Diesel,0.0
2012-04-01,Heavy goods vehicles,Other,0.0
2012-04-01,Heavy goods vehicles,Petrol,0.0
2012-04-01,Heavy goods vehicles,Pure Electric,0.0
2012-04-01,Light goods vehicles,Diesel,0.0
2012-04-01,Light goods vehicles,Other,0.0
2012-04-01,Light goods vehicles,Petrol,0.0
2012-04-01,Light goods vehicles,Pure Electric,0.0
2012-04-01,Motorcycles,Diesel,0.0
2012-04-01,Motorcycles,Other,0.0
2012-04-01,Motorcycles,Petrol,0.0
2012-04-01,Motorcycles,Pure Electric,0.0
2012-04-01,Other vehicles,Diesel,0.0
2012-04-01,Other vehicles,Other,0.0
2012-04-01,Other vehicles,Petrol,0.0
2012-04-01,Other vehicles,Pure Electric,0.0
2012-07-01,Buses and coaches,Diesel,0.0
2012-07-01,Buses and coaches,Other,0.0
2012-07-01,Buses and coaches,Petrol,0.0
2012-07-01,Buses and coaches,Pure Electric,0.0
2012-07-01,Cars,Diesel,0.0
2012-07-01,Cars,Other,0.0
2012-07-01,Cars,Petrol,0.0
2012-07-01,Cars,Pure Electric,0.0
2012-07-01,Heavy goods vehicles,Diesel,0.0
2012-07-01,Heavy goods vehicles,Other,0.0
2012-07-01,Heavy goods vehicles,Petrol,0.0
2012-07-01,Heavy goods vehicles,Pure Electric,0.0
2012-07-01,Light goods vehicles,Diesel,0.0
2012-07-01,Light goods vehicles,Other,0.0
2012-07-01,Light goods vehicles,Petrol,0.0
2012-07-01,Light goods vehicles,Pure Electric,0.0
2012-07-01,Motorcycles,Diesel,0.0
2012-07-01,Motorcycles,Other,0.0
2012-07-01,Motorcycles,Petrol,0.0
2012-07-01,Motorcycles,Pure Electric,0.0
2012-07-01,Other vehicles,Diesel,0.0
2012-07-01,Other vehicles,Other,0.0
2012-07-01,Other vehicles,Petrol,0.0
2012-07-01,Other vehicles,Pure Electric,0.0
2012-10-01,Buses and coaches,Diesel,0.0
2012-10-01,Buses and coaches,Other,0.0
2012-10-01,Buses and coaches,Petrol,0.0
2012-10-01,Buses and coaches,Pure Electric,0.0
2012-10-01,Cars,Diesel,0.0
2012-10-01,Cars,Other,0.0
2012-10-01,Cars,Petrol,0.0
2012-10-01,Cars,Pure Electric,0.0
2012-10-01,Heavy goods vehicles,Diesel,0.0
2012-10-01,Heavy goods vehicles,Other,0.0
2012-10-01,Heavy goods vehicles,Petrol,0.0
2012-10-01,Heavy goods vehicles,Pure Electric,0.0
2012-10-01,Light goods vehicles,Diesel,0.0
2012-10-01,Light goods vehicles,Other,0.0
2012-10-01,Light goods vehicles,Petrol,0.0
2012-10-01,Light goods vehicles,Pure Electric,0.0
2012-10-01,Motorcycles,Diesel,0.0
2012-10-01,Motorcycles,Other,0.0
2012-10-01,Motorcycles,Petrol,0.0
2012-10-01,Motorcycles,Pure Electric,0.0
2012-10-01,Other vehicles,Diesel,0.0
2012-10-01,Other vehicles,Other,0.0
2012-10-01,Other vehicles,Petrol,0.0
2012-10-01,Other vehicles,Pure Electric,0.0
2013-01-01,Buses and coaches,Diesel,0.0
2013-01-01,Buses and coaches,Other,0.0
2013-01-01,Buses and coaches,Petrol,0.0
2013-01-01,Buses and coaches,Pure Electric,0.0
2013-01-01,Cars,Diesel,0.0
2013-01-01,Cars,Other,0.0
2013-01-01,Cars,Petrol,0.0
2013-01-01,Cars,Pure Electric,0.0
2013-01-01,Heavy goods vehicles,Diesel,0.0
2013-01-01,Heavy goods vehicles,Other,0.0
2013-01-01,Heavy goods vehicles,Petrol,0.0
2013-01-01,Heavy goods vehicles,Pure Electric,0.0
2013-01-01,Light goods vehicles,Diesel,0.0
2013-01-01,Light goods vehicles,Other,0.0
2013-01-01,Light goods vehicles,Petrol,0.0
2013-01-01,Light goods vehicles,Pure Electric,0.0
2013-01-01,Motorcycles,Diesel,0.0
2013-01-01,Motorcycles,Other,0.0
2013-01-01,Motorcycles,Petrol,0.0
2013-01-01,Motorcycles,Pure Electric,0.0
2013-01-01,Other vehicles,Diesel,0.0
2013-01-01,Other vehicles,Other,0.0
2013-01-01,Other vehicles,Petrol,0.0
2013-01-01,Other vehicles,Pure Electric,0.0
2013-04-01,Buses and coaches,Diesel,0.0
2013-04-01,Buses and coaches,Other,0.0
2013-04-01,Buses and coaches,Petrol,0.0
2013-04-01,Buses and coaches,Pure Electric,0.0
2013-04-01,Cars,Diesel,0.0
2013-04-01,Cars,Other,0.0
2013-04-01,Cars,Petrol,0.0
2013-04-01,Cars,Pure Electric,0.0
2013-04-01,Heavy goods vehicles,Diesel,0.0
2013-04-01,Heavy goods vehicles,Other,0.0
2013-04-01,Heavy goods vehicles,Petrol,0.0
2013-04-01,Heavy goods vehicles,Pure Electric,0.0
2013-04-01,Light goods vehicles,Diesel,0.0
2013-04-01,Light goods vehicles,Other,0.0
2013-04-01,Light goods vehicles,Petrol,0.0
2013-04-01,Light goods vehicles,Pure Electric,0.0
2013-04-01,Motorcycles,Diesel,0.0
2013-04-01,Motorcycles,Other,0.0
2013-04-01,Motorcycles,Petrol,0.0
2013-04-01,Motorcycles,Pure Electric,0.0
2013-04-01,Other vehicles,Diesel,0.0
2013-04-01,Other vehicles,Other,0.0
2013-04-01,Other vehicles,Petrol,0.0
2013-04-01,Other vehicles,Pure Electric,0.0
2013-07-01,Buses and coaches,Diesel,0.0
2013-07-01,Buses and coaches,Other,0.0
2013-07-01,Buses and coaches,Petrol,0.0
2013-07-01,Buses and coaches,Pure Electric,0.0
2013-07-01,Cars,Diesel,0.0
2013-07-01,Cars,Other,0.0
2013-07-01,Cars,Petrol,0.0
2013-07-01,Cars,Pure Electric,0.0
2013-07-01,Heavy goods vehicles,Diesel,0.0
2013-07-01,Heavy goods vehicles,Other,0.0
2013-07-01,Heavy goods vehicles,Petrol,0.0
2013-07-01,Heavy goods vehicles,Pure Electric,0.0
2013-07-01,Light goods vehicles,Diesel,0.0
2013-07-01,Light goods vehicles,Other,0.0
2013-07-01,Light goods vehicles,Petrol,0.0
2013-07-01,Light goods vehicles,Pure Electric,0.0
2013-07-01,Motorcycles,Diesel,0.0
2013-07-01,Motorcycles,Other,0.0
2013-07-01,Motorcycles,Petrol,0.0
2013-07-01,Motorcycles,Pure Electric,0.0
2013-07-01,Other vehicles,Diesel,0.0
2013-07-01,Other vehicles,Other,0.0
2013-07-01,Other vehicles,Petrol,0.0
2013-07-01,Other vehicles,Pure Electric,0.0
2013-10-01,Buses and coaches,Diesel,0.0
2013-10-01,Buses and coaches,Other,0.0
2013-10-01,Buses and coaches,Petrol,0.0
2013-10-01,Buses and coaches,Pure Electric,0.0
2013-10-01,Cars,Diesel,0.0
2013-10-01,Cars,Other,0.0
2013-10-01,Cars,Petrol,0.0
2013-10-01,Cars,Pure Electric,0.0
2013-10-01,Heavy goods vehicles,Diesel,0.0
2013-10-01,Heavy goods vehicles,Other,0.0
2013-10-01,Heavy goods vehicles,Petrol,0.0
2013-10-01,Heavy goods vehicles,Pure Electric,0.0
2013-10-01,Light goods vehicles,Diesel,0.0
2013-10-01,Light goods vehicles,Other,0.0
2013-10-01,Light goods vehicles,Petrol,0.0
2013-10-01,Light goods vehicles,Pure Electric,0.0
2013-10-01,Motorcycles,Diesel,0.0
2013-10-01,Motorcycles,Other,0.0
2013-10-01,Motorcycles,Petrol,0.0
2013-10-01,Motorcycles,Pure Electric,0.0
2013-10-01,Other vehicles,Diesel,0.0
2013-10-01,Other vehicles,Other,0.0
2013-10-01,Other vehicles,Petrol,0.0
2013-10-01,Other vehicles,Pure Electric,0.0
2014-01-01,Buses and coaches,Diesel,0.0
2014-01-01,Buses and coaches,Other,0.0
2014-01-01,Buses and coaches,Petrol,0.0
2014-01-01,Buses and coaches,Pure Electric,0.0
2014-01-01,Cars,Diesel,0.0
2014-01-01,Cars,Other,0.0
2014-01-01,Cars,Petrol,0.0
2014-01-01,Cars,Pure Electric,0.0
2014-01-01,Heavy goods vehicles,Diesel,0.0
2014-01-01,Heavy goods vehicles,Other,0.0
2014-01-01,Heavy goods vehicles,Petrol,0.0
2014-01-01,Heavy goods vehicles,Pure Electric,0.0
2014-01-01,Light goods vehicles,Diesel,0.0
2014-01-01,Light goods vehicles,Other,0.0
2014-01-01,Light goods vehicles,Petrol,0.0
2014-01-01,Light goods vehicles,Pure Electric,0.0
2014-01-01,Motorcycles,Diesel,0.0
2014-01-01,Motorcycles,Other,0.0
2014-01-01,Motorcycles,Petrol,0.0
2014-01-01,Motorcycles,Pure Electric,0.0
2014-01-01,Other vehicles,Diesel,0.0
2014-01-01,Other vehicles,Other,0.0
2014-01-01,Other vehicles,Petrol,0.0
2014-01-01,Other vehicles,Pure Electric,0.0
2014-04-01,Buses and coaches,Diesel,0.0
